city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Agjabadi,2020-01-01,12.5,-0.1,5.3,0.0,0.0,0.0,9.7,16.6,82,1014.2,39,8.37,10.4,3
Agjabadi,2020-01-02,11.3,0.1,5.4,0.2,0.2,0.0,9.8,13.0,80,1019.2,46,6.87,9.0,51
Agjabadi,2020-01-03,6.4,4.6,5.5,4.6,4.6,0.0,10.5,23.0,90,1026.5,100,2.23,4.2,53
Agjabadi,2020-01-04,6.4,4.2,5.2,1.3,1.3,0.0,5.5,12.2,91,1021.2,100,1.53,4.4,51
Agjabadi,2020-01-05,10.4,0.4,5.0,0.4,0.4,0.0,6.9,16.2,79,1015.1,58,8.68,8.0,51
Agjabadi,2020-01-06,9.2,-1.4,2.5,0.0,0.0,0.0,8.6,16.2,87,1022.0,12,8.36,6.8,3
Agjabadi,2020-01-07,9.4,-1.6,2.8,0.0,0.0,0.0,6.8,14.0,87,1022.4,23,8.13,7.5,2
Agjabadi,2020-01-08,7.8,-4.3,1.2,0.0,0.0,0.0,8.3,18.4,80,1017.5,81,7.53,5.3,3
Agjabadi,2020-01-09,8.8,-0.8,3.2,0.1,0.1,0.0,9.5,13.0,82,1017.4,82,5.52,6.8,51
Agjabadi,2020-01-10,9.1,-0.6,3.1,0.0,0.0,0.0,9.2,16.2,79,1020.2,29,7.8,6.2,2
Agjabadi,2020-01-11,8.2,-0.9,2.5,0.0,0.0,0.0,9.7,18.4,86,1023.4,47,8.07,5.4,3
Agjabadi,2020-01-12,9.7,-1.9,3.2,0.0,0.0,0.0,8.1,14.8,78,1019.4,73,7.73,7.3,3
Agjabadi,2020-01-13,8.8,1.9,4.9,0.5,0.5,0.0,8.9,16.6,81,1021.5,83,4.84,6.5,51
Agjabadi,2020-01-14,9.8,-2.5,3.1,0.0,0.0,0.0,9.4,16.6,75,1028.2,0,9.67,7.2,0
Agjabadi,2020-01-15,6.2,-1.9,2.3,0.0,0.0,0.0,12.0,23.0,86,1029.0,88,5.85,3.6,3
Agjabadi,2020-01-16,4.5,2.8,3.7,6.9,6.9,0.0,12.8,25.2,91,1035.8,98,1.89,1.5,53
Agjabadi,2020-01-17,6.4,-1.1,3.4,1.5,1.5,0.0,8.8,16.9,88,1028.6,84,3.45,3.8,51
Agjabadi,2020-01-18,8.3,-3.8,1.5,0.0,0.0,0.0,11.0,24.8,79,1022.3,14,10.03,4.4,2
Agjabadi,2020-01-19,3.9,0.3,2.5,1.7,1.7,0.0,10.8,23.0,88,1026.6,96,2.36,1.4,51
Agjabadi,2020-01-20,6.2,0.9,3.2,0.2,0.2,0.0,7.7,21.6,84,1029.7,85,6.62,3.1,51
Agjabadi,2020-01-21,8.2,-0.8,3.3,0.0,0.0,0.0,8.9,13.0,78,1026.9,44,9.38,5.9,3
Agjabadi,2020-01-22,10.8,-1.6,3.0,0.0,0.0,0.0,8.8,17.6,76,1022.6,13,10.2,7.6,2
Agjabadi,2020-01-23,11.4,-2.4,3.5,0.0,0.0,0.0,16.4,30.6,65,1011.8,14,10.5,7.7,3
Agjabadi,2020-01-24,7.3,2.5,5.5,0.9,0.9,0.0,23.8,46.4,57,1019.1,98,2.47,2.2,51
Agjabadi,2020-01-25,7.0,-1.8,2.1,0.0,0.0,0.0,8.7,17.6,69,1028.6,34,10.48,3.7,3
Agjabadi,2020-01-26,12.1,-2.8,2.9,0.0,0.0,0.0,11.3,18.4,58,1021.5,0,11.01,8.5,0
Agjabadi,2020-01-27,9.8,-3.8,2.8,0.0,0.0,0.0,8.0,17.3,65,1027.3,1,10.89,6.7,1
Agjabadi,2020-01-28,10.2,-3.5,1.8,0.0,0.0,0.0,8.5,15.1,73,1022.1,41,10.64,7.7,3
Agjabadi,2020-01-29,10.6,-3.2,2.8,0.0,0.0,0.0,9.2,15.8,65,1015.4,53,9.57,7.9,3
Agjabadi,2020-01-30,15.6,-1.6,5.7,0.0,0.0,0.0,9.7,16.9,60,1013.8,20,11.28,12.9,3
Agjabadi,2020-01-31,15.2,-0.2,6.3,0.0,0.0,0.0,15.6,30.6,64,1007.5,77,10.62,13.0,3
Agjabadi,2020-02-01,8.2,4.1,5.5,5.0,5.0,0.0,17.5,33.1,84,1011.2,96,2.04,3.5,51
Agjabadi,2020-02-02,10.9,1.0,5.4,0.3,0.3,0.0,9.5,16.9,81,1019.1,37,10.57,8.7,51
Agjabadi,2020-02-03,14.1,-1.9,5.3,0.0,0.0,0.0,10.1,18.0,68,1016.0,8,11.76,11.3,2
Agjabadi,2020-02-04,15.4,-0.3,7.6,0.0,0.0,0.0,21.7,42.5,53,1006.2,56,10.94,11.7,3
Agjabadi,2020-02-05,13.4,4.0,7.7,0.0,0.0,0.0,20.0,42.1,62,1015.0,27,11.7,10.8,3
Agjabadi,2020-02-06,19.8,2.1,9.6,0.0,0.0,0.0,10.2,24.1,63,1011.4,9,11.87,17.3,2
Agjabadi,2020-02-07,21.2,3.3,11.1,0.0,0.0,0.0,18.4,35.3,58,1004.1,14,10.61,20.1,3
Agjabadi,2020-02-08,12.9,4.0,8.3,2.6,2.2,0.28,24.9,49.7,65,1003.8,77,8.92,11.1,73
Agjabadi,2020-02-09,3.2,-0.7,1.6,4.2,0.1,2.87,17.7,36.0,61,1016.7,95,3.48,-0.6,73
Agjabadi,2020-02-10,4.1,-4.0,-0.5,0.0,0.0,0.0,10.3,21.2,65,1027.5,87,7.89,0.6,3
Agjabadi,2020-02-11,5.2,-5.2,-1.1,0.0,0.0,0.0,7.2,17.6,64,1022.6,43,12.73,1.9,3
Agjabadi,2020-02-12,8.9,-5.3,0.9,0.0,0.0,0.0,13.1,24.1,44,1014.4,12,13.35,5.0,2
Agjabadi,2020-02-13,12.0,-1.1,4.9,0.0,0.0,0.0,13.0,23.0,46,1018.6,67,9.78,8.2,3
Agjabadi,2020-02-14,11.8,1.1,6.1,1.3,1.3,0.0,19.5,37.4,60,1025.7,56,10.89,7.7,53
Agjabadi,2020-02-15,9.7,-3.0,2.8,0.0,0.0,0.0,9.4,20.5,68,1031.4,55,12.68,6.4,3
Agjabadi,2020-02-16,10.9,-1.1,4.5,0.0,0.0,0.0,12.0,21.2,58,1028.8,75,12.38,7.7,3
Agjabadi,2020-02-17,8.9,2.8,5.6,2.2,2.2,0.0,13.5,25.9,78,1033.8,91,6.23,5.5,53
Agjabadi,2020-02-18,10.9,-0.2,5.1,0.0,0.0,0.0,7.1,19.8,72,1032.5,7,13.56,8.0,2
Agjabadi,2020-02-19,13.6,-1.1,5.8,0.0,0.0,0.0,9.2,18.0,71,1022.2,54,13.31,10.9,3
Agjabadi,2020-02-20,10.6,5.3,7.5,1.6,1.6,0.0,5.8,11.2,84,1015.4,98,3.91,9.2,51
Agjabadi,2020-02-21,15.2,3.5,8.4,0.0,0.0,0.0,11.3,22.3,84,1016.9,51,13.14,13.7,3
Agjabadi,2020-02-22,11.3,5.8,8.8,0.0,0.0,0.0,6.9,16.6,86,1021.3,98,4.07,9.6,3
Agjabadi,2020-02-23,17.5,5.6,10.5,0.0,0.0,0.0,8.0,15.1,75,1019.9,39,14.44,16.0,3
Agjabadi,2020-02-24,15.4,5.0,9.3,0.0,0.0,0.0,10.5,18.7,76,1015.5,34,13.81,14.4,3
Agjabadi,2020-02-25,17.3,4.1,9.4,0.6,0.6,0.0,44.3,88.6,57,1008.2,34,13.28,11.5,51
Agjabadi,2020-02-26,12.1,2.3,7.5,0.0,0.0,0.0,14.0,26.6,49,1022.2,49,11.82,9.5,3
Agjabadi,2020-02-27,15.1,-0.4,6.3,0.0,0.0,0.0,8.2,19.4,67,1020.2,8,15.83,12.5,2
Agjabadi,2020-02-28,17.5,0.5,9.4,0.0,0.0,0.0,25.2,47.2,59,1010.9,82,10.06,14.0,3
Agjabadi,2020-02-29,17.2,5.8,11.5,0.1,0.1,0.0,22.4,48.6,51,1013.0,57,13.65,12.4,51
Agjabadi,2020-03-01,17.5,2.0,9.3,0.5,0.5,0.0,23.8,50.4,68,1013.3,65,15.14,14.7,51
Agjabadi,2020-03-02,8.5,5.2,6.6,13.1,13.1,0.0,13.4,32.0,89,1022.1,100,4.31,6.5,61
Agjabadi,2020-03-03,16.1,2.2,8.7,0.5,0.5,0.0,7.8,19.8,80,1022.9,54,16.06,14.2,51
Agjabadi,2020-03-04,17.4,3.0,8.8,0.0,0.0,0.0,10.2,15.8,84,1023.1,38,14.94,16.2,3
Agjabadi,2020-03-05,18.8,3.8,10.2,0.0,0.0,0.0,9.9,16.9,82,1018.6,52,15.59,17.5,3
Agjabadi,2020-03-06,14.1,5.4,9.0,0.0,0.0,0.0,8.2,20.2,90,1018.6,91,10.33,13.0,3
Agjabadi,2020-03-07,16.6,3.8,10.5,0.0,0.0,0.0,13.2,25.6,78,1023.4,98,11.13,14.2,3
Agjabadi,2020-03-08,17.0,4.0,9.8,0.0,0.0,0.0,17.4,32.8,76,1026.3,37,17.32,15.6,3
Agjabadi,2020-03-09,16.4,1.3,8.6,0.0,0.0,0.0,9.1,16.6,75,1026.6,0,17.9,15.4,0
Agjabadi,2020-03-10,15.5,3.5,8.3,0.0,0.0,0.0,9.1,21.2,81,1021.6,54,16.64,14.0,3
Agjabadi,2020-03-11,20.5,2.6,10.3,0.0,0.0,0.0,11.5,14.4,78,1017.6,69,16.61,19.2,3
Agjabadi,2020-03-12,24.0,5.1,13.8,0.0,0.0,0.0,11.7,18.4,70,1016.1,29,17.68,23.0,3
Agjabadi,2020-03-13,20.1,8.0,13.4,0.0,0.0,0.0,17.3,39.2,75,1018.9,82,16.17,18.0,3
Agjabadi,2020-03-14,17.1,9.0,13.1,0.1,0.1,0.0,8.1,14.8,77,1010.3,97,7.2,16.6,51
Agjabadi,2020-03-15,17.5,10.1,13.3,2.1,2.1,0.0,14.5,28.4,80,1013.2,65,7.51,16.1,51
Agjabadi,2020-03-16,12.6,7.6,9.7,4.7,4.7,0.0,16.3,33.1,83,1017.5,96,4.5,11.4,53
Agjabadi,2020-03-17,7.8,5.7,6.7,1.1,1.1,0.0,15.3,33.5,71,1026.4,99,3.25,5.3,51
Agjabadi,2020-03-18,6.7,4.6,5.5,4.1,4.1,0.0,11.4,25.9,75,1024.4,100,3.75,3.2,53
Agjabadi,2020-03-19,12.4,4.1,7.2,0.9,0.9,0.0,9.2,21.6,79,1015.9,57,12.23,10.1,53
Agjabadi,2020-03-20,14.0,2.8,8.1,0.0,0.0,0.0,13.5,28.1,84,1015.3,75,10.72,11.9,3
Agjabadi,2020-03-21,10.1,6.4,8.4,1.8,1.8,0.0,10.5,22.3,89,1019.4,91,3.38,8.5,51
Agjabadi,2020-03-22,12.2,6.0,9.1,0.7,0.7,0.0,7.7,20.5,82,1020.3,80,7.67,10.2,51
Agjabadi,2020-03-23,17.6,3.4,10.6,0.0,0.0,0.0,14.5,27.0,73,1018.2,9,19.45,16.5,1
Agjabadi,2020-03-24,18.6,6.4,12.1,0.0,0.0,0.0,13.2,26.6,69,1018.7,22,18.59,16.4,1
Agjabadi,2020-03-25,16.5,5.6,10.7,1.0,1.0,0.0,11.5,25.9,73,1021.0,66,12.51,14.2,51
Agjabadi,2020-03-26,17.6,4.8,11.3,0.0,0.0,0.0,12.0,30.2,66,1024.6,30,20.55,15.3,3
Agjabadi,2020-03-27,18.1,3.7,10.8,0.0,0.0,0.0,11.8,24.8,70,1023.1,14,20.76,16.1,3
Agjabadi,2020-03-28,15.6,5.8,10.7,0.2,0.2,0.0,11.2,23.4,81,1018.1,78,8.91,14.7,51
Agjabadi,2020-03-29,15.9,8.7,12.1,0.6,0.6,0.0,7.2,21.2,69,1009.4,94,10.97,13.5,53
Agjabadi,2020-03-30,20.7,7.3,13.4,0.3,0.3,0.0,12.1,25.9,68,1002.9,52,19.07,18.5,51
Agjabadi,2020-03-31,20.2,10.3,14.2,1.2,1.2,0.0,17.6,33.1,59,1009.4,79,16.97,19.3,51
Agjabadi,2020-04-01,21.4,7.8,14.5,1.0,1.0,0.0,17.2,33.8,72,1011.8,63,18.81,20.0,53
Agjabadi,2020-04-02,16.0,9.1,12.9,5.1,5.1,0.0,23.8,51.5,77,1009.2,83,10.28,14.1,55
Agjabadi,2020-04-03,17.7,7.8,12.0,0.0,0.0,0.0,15.3,32.4,74,1014.8,43,15.96,15.4,3
Agjabadi,2020-04-04,11.6,7.8,10.3,16.5,16.5,0.0,7.4,15.5,92,1019.5,96,2.81,10.7,63
Agjabadi,2020-04-05,18.7,7.8,12.5,0.0,0.0,0.0,7.3,17.6,80,1022.4,44,19.33,19.6,3
Agjabadi,2020-04-06,18.4,7.6,11.8,2.8,2.8,0.0,22.7,43.9,82,1019.3,83,10.14,16.9,53
Agjabadi,2020-04-07,7.2,4.3,5.4,9.3,9.3,0.0,21.2,43.6,80,1030.7,100,5.5,3.1,53
Agjabadi,2020-04-08,9.6,3.5,5.9,0.0,0.0,0.0,13.5,32.0,69,1033.9,94,10.71,5.7,3
Agjabadi,2020-04-09,12.1,2.5,7.3,0.0,0.0,0.0,8.7,16.6,69,1023.3,55,18.51,11.0,3
Agjabadi,2020-04-10,13.4,2.1,8.3,0.5,0.5,0.0,10.8,26.6,71,1015.2,78,12.81,10.8,53
Agjabadi,2020-04-11,17.8,6.8,11.1,2.2,2.2,0.0,11.0,22.7,72,1013.5,88,12.42,15.2,53
Agjabadi,2020-04-12,17.5,8.4,12.5,0.9,0.9,0.0,16.3,31.7,58,1017.9,70,12.11,15.5,53
Agjabadi,2020-04-13,14.4,7.2,10.4,0.5,0.5,0.0,13.7,29.9,64,1025.4,73,13.73,11.3,51
Agjabadi,2020-04-14,18.0,3.3,10.4,0.0,0.0,0.0,8.7,17.3,75,1022.9,10,23.21,17.3,3
Agjabadi,2020-04-15,21.6,6.3,13.1,0.0,0.0,0.0,10.2,20.2,77,1016.6,30,23.09,21.0,3
Agjabadi,2020-04-16,23.6,7.8,15.5,0.0,0.0,0.0,17.0,31.7,66,1012.0,62,21.7,22.8,3
Agjabadi,2020-04-17,20.2,10.0,14.7,0.0,0.0,0.0,10.2,22.7,60,1017.7,26,22.49,19.5,3
Agjabadi,2020-04-18,24.4,8.3,16.0,0.0,0.0,0.0,9.7,18.4,72,1013.6,33,23.4,24.5,3
Agjabadi,2020-04-19,23.8,10.9,16.8,0.0,0.0,0.0,11.7,25.6,74,1013.6,78,19.92,24.5,3
Agjabadi,2020-04-20,26.2,10.6,18.4,0.0,0.0,0.0,9.2,21.2,69,1011.5,52,22.41,26.2,3
Agjabadi,2020-04-21,25.6,12.4,18.3,0.0,0.0,0.0,20.0,40.0,62,1010.0,53,20.33,25.4,3
Agjabadi,2020-04-22,17.9,10.6,13.6,0.8,0.8,0.0,16.3,32.4,54,1014.0,81,18.29,16.6,53
Agjabadi,2020-04-23,12.4,8.7,10.5,6.7,6.7,0.0,11.6,23.0,75,1016.2,99,7.87,10.3,61
Agjabadi,2020-04-24,10.4,7.4,8.5,6.5,6.5,0.0,9.4,22.7,84,1020.4,98,5.53,8.4,55
Agjabadi,2020-04-25,12.3,6.4,9.2,2.1,2.1,0.0,9.0,17.6,82,1013.5,90,8.54,11.1,53
Agjabadi,2020-04-26,19.6,5.8,12.6,0.9,0.9,0.0,8.6,20.5,72,1006.4,62,22.87,20.2,51
Agjabadi,2020-04-27,23.6,8.6,16.2,0.0,0.0,0.0,13.7,31.7,60,1009.5,32,24.29,22.2,3
Agjabadi,2020-04-28,22.2,11.2,16.2,1.2,1.2,0.0,18.1,37.1,63,1012.7,66,21.71,20.5,51
Agjabadi,2020-04-29,19.8,10.6,14.6,0.1,0.1,0.0,15.0,31.3,58,1020.1,69,18.25,18.1,51
Agjabadi,2020-04-30,22.4,8.6,15.5,0.0,0.0,0.0,9.7,20.9,70,1016.2,70,24.27,22.2,3
Agjabadi,2020-05-01,25.0,10.7,17.2,0.0,0.0,0.0,9.5,20.9,74,1011.1,73,23.44,25.5,3
Agjabadi,2020-05-02,23.1,12.8,17.6,0.0,0.0,0.0,13.4,32.0,76,1008.2,88,16.63,23.6,3
Agjabadi,2020-05-03,25.8,13.6,19.1,0.0,0.0,0.0,8.3,18.7,71,1007.2,70,20.31,27.1,3
Agjabadi,2020-05-04,29.2,13.3,21.0,0.0,0.0,0.0,7.9,19.1,62,1008.9,69,23.48,30.9,3
Agjabadi,2020-05-05,29.9,16.1,22.6,0.0,0.0,0.0,11.1,27.7,55,1009.6,77,19.58,31.3,3
Agjabadi,2020-05-06,25.9,15.9,19.6,8.5,8.5,0.0,9.8,25.9,73,1004.9,82,13.52,26.6,63
Agjabadi,2020-05-07,19.1,14.8,16.7,10.0,10.0,0.0,17.3,38.9,86,1004.3,98,8.67,19.6,61
Agjabadi,2020-05-08,27.4,11.5,20.0,0.0,0.0,0.0,14.7,30.2,64,1009.5,33,25.69,29.0,3
Agjabadi,2020-05-09,26.0,13.6,18.9,1.9,1.9,0.0,21.6,43.9,65,1013.3,56,18.91,26.3,55
Agjabadi,2020-05-10,16.5,13.3,14.8,8.4,8.4,0.0,21.5,41.4,77,1013.0,100,7.37,15.9,61
Agjabadi,2020-05-11,18.8,12.4,15.2,0.0,0.0,0.0,8.7,21.6,61,1019.1,94,10.94,18.0,3
Agjabadi,2020-05-12,24.1,9.2,17.1,0.0,0.0,0.0,9.6,17.3,63,1017.7,6,27.0,25.3,2
Agjabadi,2020-05-13,27.0,10.7,19.1,0.0,0.0,0.0,15.0,31.7,67,1012.9,41,24.5,28.9,3
Agjabadi,2020-05-14,27.4,15.6,21.0,0.2,0.2,0.0,19.0,42.5,61,1017.6,22,22.97,28.1,51
Agjabadi,2020-05-15,26.6,12.1,19.1,0.0,0.0,0.0,11.4,25.2,66,1017.7,27,25.51,28.5,3
Agjabadi,2020-05-16,32.0,14.8,23.5,0.0,0.0,0.0,9.2,16.6,63,1013.0,34,26.53,33.7,3
Agjabadi,2020-05-17,29.6,14.8,23.0,0.0,0.0,0.0,28.2,57.6,48,1016.1,46,19.34,29.3,3
Agjabadi,2020-05-18,26.4,12.6,18.9,0.0,0.0,0.0,15.5,43.9,52,1018.9,53,26.38,26.1,3
Agjabadi,2020-05-19,26.3,15.5,21.2,0.7,0.7,0.0,17.2,45.0,58,1017.1,46,16.41,25.2,51
Agjabadi,2020-05-20,27.2,14.9,20.8,0.0,0.0,0.0,12.7,25.2,62,1017.6,54,18.67,27.1,3
Agjabadi,2020-05-21,33.2,15.7,24.6,0.0,0.0,0.0,9.0,17.6,51,1010.6,29,27.3,34.8,3
Agjabadi,2020-05-22,34.0,17.6,25.6,0.0,0.0,0.0,10.2,19.8,65,1006.0,20,25.78,37.0,3
Agjabadi,2020-05-23,33.8,19.0,24.9,0.0,0.0,0.0,31.8,61.9,61,1004.9,53,25.65,36.2,3
Agjabadi,2020-05-24,23.0,15.8,19.0,0.5,0.5,0.0,18.1,41.4,52,1017.5,93,13.59,20.8,51
Agjabadi,2020-05-25,25.6,13.9,18.5,0.1,0.1,0.0,23.5,55.4,57,1019.1,48,22.14,22.2,51
Agjabadi,2020-05-26,32.2,13.9,22.5,0.0,0.0,0.0,23.9,51.5,47,1016.7,0,28.11,30.7,0
Agjabadi,2020-05-27,30.1,14.9,23.0,0.0,0.0,0.0,10.1,28.4,49,1020.3,3,27.76,30.1,1
Agjabadi,2020-05-28,33.1,15.4,25.0,0.0,0.0,0.0,13.5,24.5,48,1014.5,28,27.09,34.3,2
Agjabadi,2020-05-29,35.3,18.3,26.5,0.0,0.0,0.0,13.4,27.7,55,1008.3,27,26.31,35.8,2
Agjabadi,2020-05-30,35.4,18.8,27.2,0.0,0.0,0.0,22.4,46.4,48,1007.4,4,27.44,36.8,1
Agjabadi,2020-05-31,32.8,18.6,26.1,0.0,0.0,0.0,19.1,41.4,42,1012.0,4,27.35,34.4,1
Agjabadi,2020-06-01,32.2,18.4,25.7,0.0,0.0,0.0,12.5,30.6,43,1010.1,2,27.81,32.8,1
Agjabadi,2020-06-02,35.3,17.5,26.6,0.0,0.0,0.0,17.7,35.6,48,1005.1,20,26.91,35.9,2
Agjabadi,2020-06-03,38.1,19.9,28.8,0.0,0.0,0.0,14.1,33.1,46,1002.5,14,26.63,39.8,2
Agjabadi,2020-06-04,33.3,21.5,27.6,0.0,0.0,0.0,21.4,48.2,44,1008.4,2,27.36,33.4,0
Agjabadi,2020-06-05,34.6,18.8,26.7,0.0,0.0,0.0,17.0,39.6,47,1012.8,15,26.43,35.1,2
Agjabadi,2020-06-06,29.8,19.6,24.6,0.3,0.3,0.0,15.2,33.5,52,1018.0,52,20.68,29.8,51
Agjabadi,2020-06-07,33.0,17.9,25.9,0.0,0.0,0.0,13.7,28.1,48,1016.0,1,28.11,34.4,0
Agjabadi,2020-06-08,33.6,17.4,25.8,0.0,0.0,0.0,18.1,38.2,45,1013.1,2,28.53,33.5,0
Agjabadi,2020-06-09,33.8,17.8,26.4,0.0,0.0,0.0,13.3,29.5,45,1013.2,13,28.37,34.3,2
Agjabadi,2020-06-10,34.5,18.5,27.3,0.0,0.0,0.0,11.4,27.4,44,1012.5,38,27.33,35.7,3
Agjabadi,2020-06-11,35.2,19.0,27.9,0.0,0.0,0.0,12.5,27.7,42,1008.5,47,26.85,36.6,3
Agjabadi,2020-06-12,35.2,21.2,28.2,0.0,0.0,0.0,10.1,29.2,43,1003.7,68,23.55,36.5,3
Agjabadi,2020-06-13,37.2,20.1,29.4,0.0,0.0,0.0,15.9,30.6,40,1002.1,6,27.82,37.6,1
Agjabadi,2020-06-14,38.0,20.5,29.8,0.0,0.0,0.0,10.7,21.2,36,1003.5,7,27.85,38.0,1
Agjabadi,2020-06-15,39.0,20.2,31.2,0.0,0.0,0.0,16.4,31.0,31,1006.3,37,25.97,39.7,3
Agjabadi,2020-06-16,39.5,24.2,32.2,0.0,0.0,0.0,21.1,41.0,27,1005.9,16,27.91,40.5,2
Agjabadi,2020-06-17,36.8,23.5,30.4,0.0,0.0,0.0,18.8,43.9,41,1006.7,29,25.53,38.6,2
Agjabadi,2020-06-18,36.0,22.3,29.4,0.0,0.0,0.0,21.3,44.6,37,1005.8,18,26.72,36.5,2
Agjabadi,2020-06-19,37.4,21.0,29.8,0.0,0.0,0.0,16.5,34.2,28,1003.8,11,27.38,36.3,1
Agjabadi,2020-06-20,38.5,22.7,31.3,0.0,0.0,0.0,16.3,31.3,24,1000.6,23,26.15,37.7,2
Agjabadi,2020-06-21,36.1,23.9,30.7,0.0,0.0,0.0,18.3,45.0,31,999.5,46,23.89,34.6,3
Agjabadi,2020-06-22,35.8,25.4,30.3,0.0,0.0,0.0,17.0,33.5,35,1005.1,44,23.32,37.1,2
Agjabadi,2020-06-23,37.0,23.4,30.4,0.0,0.0,0.0,18.1,36.7,39,1010.1,21,25.49,36.8,2
Agjabadi,2020-06-24,38.0,22.2,30.3,0.0,0.0,0.0,16.7,32.4,37,1008.6,2,27.31,38.9,0
Agjabadi,2020-06-25,38.2,22.8,30.9,0.0,0.0,0.0,21.1,45.7,38,1007.8,25,25.7,39.0,3
Agjabadi,2020-06-26,32.6,24.0,28.7,0.1,0.1,0.0,26.9,55.4,39,1013.4,64,15.16,31.1,51
Agjabadi,2020-06-27,27.0,19.6,23.3,6.8,6.8,0.0,18.9,42.1,46,1017.5,50,20.65,25.6,63
Agjabadi,2020-06-28,26.5,18.8,21.8,0.4,0.4,0.0,10.4,29.2,40,1014.4,58,16.77,25.7,51
Agjabadi,2020-06-29,32.2,17.0,25.0,0.0,0.0,0.0,11.0,24.1,43,1008.7,10,27.24,33.1,2
Agjabadi,2020-06-30,34.7,18.5,27.2,0.0,0.0,0.0,13.8,26.3,40,1005.4,39,24.56,35.0,3
Agjabadi,2020-07-01,32.5,22.9,28.1,0.0,0.0,0.0,18.2,37.8,35,1009.8,75,17.37,30.7,3
Agjabadi,2020-07-02,33.6,20.0,27.0,0.0,0.0,0.0,17.0,38.9,49,1013.2,27,26.52,33.5,2
Agjabadi,2020-07-03,35.0,19.9,28.2,0.0,0.0,0.0,16.1,31.7,44,1013.0,18,26.89,35.7,2
Agjabadi,2020-07-04,36.8,20.2,29.1,0.0,0.0,0.0,18.9,36.7,38,1011.6,20,26.68,36.2,2
Agjabadi,2020-07-05,37.2,20.3,29.5,0.0,0.0,0.0,13.8,32.0,30,1008.5,1,27.33,36.1,0
Agjabadi,2020-07-06,38.7,20.4,31.0,0.0,0.0,0.0,16.3,34.6,24,1006.3,1,27.51,38.1,0
Agjabadi,2020-07-07,39.3,21.2,31.4,0.0,0.0,0.0,16.3,35.6,31,1004.9,0,27.67,38.2,0
Agjabadi,2020-07-08,39.1,22.5,31.4,0.0,0.0,0.0,14.8,28.1,37,1003.9,4,27.02,40.1,1
Agjabadi,2020-07-09,39.8,25.9,32.8,0.0,0.0,0.0,19.2,39.2,35,1006.0,25,25.64,40.6,3
Agjabadi,2020-07-10,36.0,26.6,30.4,0.0,0.0,0.0,12.6,37.4,41,1011.1,76,20.08,36.2,3
Agjabadi,2020-07-11,32.8,24.1,28.0,4.9,4.9,0.0,13.2,32.4,55,1012.6,73,18.14,33.2,55
Agjabadi,2020-07-12,36.2,24.5,30.3,0.0,0.0,0.0,18.3,35.6,39,1007.3,33,23.59,36.0,2
Agjabadi,2020-07-13,36.9,23.6,30.4,0.2,0.2,0.0,14.2,31.7,43,1001.9,36,25.06,37.8,51
Agjabadi,2020-07-14,36.2,25.5,30.4,0.6,0.6,0.0,19.1,43.9,46,1005.1,60,22.16,36.8,53
Agjabadi,2020-07-15,36.6,25.0,30.3,0.2,0.2,0.0,13.3,33.1,51,1009.8,33,23.39,38.1,51
Agjabadi,2020-07-16,37.2,24.5,31.1,0.0,0.0,0.0,21.2,42.5,40,1008.5,32,23.63,38.6,3
Agjabadi,2020-07-17,38.4,24.5,31.7,0.0,0.0,0.0,15.6,33.1,34,1006.5,2,26.47,38.7,0
Agjabadi,2020-07-18,39.1,23.2,31.5,0.0,0.0,0.0,20.0,40.3,41,1007.3,2,26.23,39.7,0
Agjabadi,2020-07-19,38.4,24.4,31.7,0.0,0.0,0.0,15.3,30.2,51,1009.3,5,25.37,40.7,0
Agjabadi,2020-07-20,39.3,25.6,32.7,0.0,0.0,0.0,17.2,34.6,47,1007.0,5,24.78,43.4,2
Agjabadi,2020-07-21,39.0,26.4,32.8,0.0,0.0,0.0,12.9,30.6,46,1003.0,26,23.24,42.7,2
Agjabadi,2020-07-22,33.2,27.5,30.3,0.7,0.7,0.0,23.8,49.3,47,1007.2,70,15.14,35.0,53
Agjabadi,2020-07-23,30.3,23.0,26.5,3.2,3.2,0.0,8.5,28.4,59,1010.5,52,19.24,32.0,53
Agjabadi,2020-07-24,33.3,23.0,28.3,0.0,0.0,0.0,9.9,28.1,52,1009.2,27,23.24,35.2,2
Agjabadi,2020-07-25,34.5,23.6,29.2,0.0,0.0,0.0,10.2,23.0,54,1009.4,27,21.78,36.4,3
Agjabadi,2020-07-26,36.8,24.1,30.6,0.0,0.0,0.0,15.2,31.0,54,1009.0,3,25.34,39.5,0
Agjabadi,2020-07-27,37.8,23.6,31.1,0.0,0.0,0.0,20.2,42.1,51,1008.4,2,25.54,39.2,0
Agjabadi,2020-07-28,39.5,26.2,33.0,0.0,0.0,0.0,18.8,36.0,34,1008.8,25,24.47,40.1,3
Agjabadi,2020-07-29,37.8,25.2,31.5,0.0,0.0,0.0,13.2,37.1,45,1008.6,40,23.14,39.9,3
Agjabadi,2020-07-30,29.9,22.4,26.0,10.7,10.7,0.0,17.9,38.2,58,1014.5,88,11.39,29.7,63
